File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/66_50/cog_47_2176.dimacs	0.78	47	42	9	49726	35301
../test_instances/final/66_50/cog_48_1518.dimacs	5.55	48	47	27	53016	49726
../test_instances/final/66_50/cog_48_156.dimacs	3.46	48	45	32	53016	43560
../test_instances/final/66_50/cog_49_1338.dimacs	594.40	49	49	90	56448	56448
../test_instances/final/66_50/cog_49_508.dimacs	111.24	49	49	82	56448	56448
../test_instances/final/66_50/cog_50_523.dimacs	41.01	50	50	61	60025	60025
../test_instances/final/66_50/cog_50_981.dimacs	11.44	50	50	48	60025	60025
../test_instances/final/66_50/cog_6_1212.dimacs	0.03	6	6	1	75	75
../test_instances/final/66_50/cog_6_1912.dimacs	0.00	6	0	0	75	0
../test_instances/final/66_50/cog_7_1856.dimacs	0.01	7	7	1	126	126
../test_instances/final/66_50/cog_7_3469.dimacs	0.00	7	0	0	126	0
../test_instances/final/66_50/cog_8_3047.dimacs	0.00	8	8	1	196	196
../test_instances/final/66_50/cog_8_3064.dimacs	0.01	8	8	2	196	196
../test_instances/final/66_50/cog_9_1293.dimacs	0.00	9	0	0	288	0
../test_instances/final/66_50/cog_9_3084.dimacs	0.01	9	9	1	288	288
../test_instances/final/random_ER/random_10_1_0.dimacs	0.00	10	5	1	405	40
../test_instances/final/random_ER/random_10_1_1.dimacs	0.00	10	5	1	405	40
../test_instances/final/random_ER/random_10_2_0.dimacs	0.00	10	0	0	405	0
../test_instances/final/random_ER/random_10_2_1.dimacs	0.01	10	8	2	405	196
../test_instances/final/random_ER/random_10_3_0.dimacs	0.02	10	9	3	405	288
../test_instances/final/random_ER/random_10_3_1.dimacs	0.03	10	9	4	405	288
../test_instances/final/random_ER/random_10_4_0.dimacs	0.02	10	10	3	405	405
../test_instances/final/random_ER/random_10_4_1.dimacs	0.04	10	10	5	405	405
../test_instances/final/random_ER/random_10_5_0.dimacs	0.01	10	10	2	405	405
../test_instances/final/random_ER/random_10_5_1.dimacs	0.17	10	10	6	405	405
../test_instances/final/random_ER/random_10_6_0.dimacs	0.05	10	10	5	405	405
../test_instances/final/random_ER/random_10_6_1.dimacs	0.03	10	10	5	405	405
../test_instances/final/random_ER/random_10_7_0.dimacs	0.02	10	10	4	405	405
../test_instances/final/random_ER/random_10_7_1.dimacs	0.02	10	10	3	405	405
../test_instances/final/random_ER/random_10_8_0.dimacs	0.01	10	10	3	405	405
../test_instances/final/random_ER/random_10_8_1.dimacs	0.01	10	10	1	405	405
../test_instances/final/random_ER/random_10_9_0.dimacs	0.00	10	0	0	405	0
../test_instances/final/random_ER/random_10_9_1.dimacs	0.01	10	10	1	405	405
../test_instances/final/random_ER/random_12_1_0.dimacs	0.00	12	0	0	726	0
../test_instances/final/random_ER/random_12_1_1.dimacs	0.01	12	7	1	726	126
../test_instances/final/random_ER/random_12_2_0.dimacs	0.01	12	9	2	726	288
../test_instances/final/random_ER/random_12_2_1.dimacs	0.01	12	8	3	726	196
../test_instances/final/random_ER/random_12_3_0.dimacs	0.11	12	12	7	726	726
../test_instances/final/random_ER/random_12_3_1.dimacs	0.05	12	11	5	726	550
../test_instances/final/random_ER/random_12_4_0.dimacs	0.30	12	12	9	726	726
../test_instances/final/random_ER/random_12_4_1.dimacs	0.26	12	12	10	726	726
../test_instances/final/random_ER/random_12_5_0.dimacs	0.03	12	12	5	726	726
../test_instances/final/random_ER/random_12_5_1.dimacs	0.18	12	11	7	726	550
