File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/50_50/cog_18_2686.dimacs	0.09	18	18	7	2601	2601
../test_instances/final/50_50/cog_19_3088.dimacs	0.04	19	19	4	3078	2755
../test_instances/final/50_50/cog_19_484.dimacs	0.05	19	18	5	3078	2313
../test_instances/final/50_50/cog_20_1892.dimacs	0.07	20	20	6	3610	3610
../test_instances/final/50_50/cog_20_2439.dimacs	1.72	20	20	18	3610	3610
../test_instances/final/50_50/cog_21_2640.dimacs	3.00	21	21	15	4200	4200
../test_instances/final/50_50/cog_21_690.dimacs	1.35	21	19	15	4200	3078
../test_instances/final/50_50/cog_22_2105.dimacs	0.69	22	20	15	4851	3610
../test_instances/final/50_50/cog_22_3925.dimacs	1.14	22	21	13	4851	3801
../test_instances/final/50_50/cog_23_646.dimacs	2.07	23	23	18	5566	5566
../test_instances/final/50_50/cog_23_81.dimacs	2.72	23	22	21	5566	4411
../test_instances/final/50_50/cog_24_1073.dimacs	3.91	24	23	24	6348	5566
../test_instances/final/50_50/cog_24_1679.dimacs	0.60	24	23	15	6348	5083
../test_instances/final/50_50/cog_25_296.dimacs	4.40	25	23	29	7200	5566
../test_instances/final/50_50/cog_25_84.dimacs	0.50	25	25	13	7200	6625
../test_instances/final/50_50/cog_26_1505.dimacs	0.12	26	25	6	8125	7200
../test_instances/final/50_50/cog_26_3628.dimacs	7.62	26	26	28	8125	8125
../test_instances/final/50_50/cog_27_1330.dimacs	5.09	27	27	33	9126	8451
../test_instances/final/50_50/cog_27_2415.dimacs	0.30	27	25	13	9126	7200
../test_instances/final/50_50/cog_28_1688.dimacs	7.69	28	28	31	10206	10206
../test_instances/final/50_50/cog_28_261.dimacs	0.29	28	28	10	10206	10206
../test_instances/final/50_50/cog_29_320.dimacs	0.38	29	29	16	11368	10557
../test_instances/final/50_50/cog_29_953.dimacs	25.04	29	28	43	11368	10206
../test_instances/final/50_50/cog_30_1047.dimacs	0.27	30	27	11	12615	9126
../test_instances/final/50_50/cog_30_416.dimacs	8.98	30	29	30	12615	11368
../test_instances/final/50_50/cog_31_1602.dimacs	0.98	31	25	19	13950	7200
../test_instances/final/50_50/cog_31_23.dimacs	5.33	31	31	33	13950	13950
../test_instances/final/50_50/cog_32_1124.dimacs	0.18	32	31	7	15376	7228
../test_instances/final/50_50/cog_32_1344.dimacs	1.23	32	31	25	15376	13950
../test_instances/final/50_50/cog_33_1094.dimacs	12.37	33	33	44	16896	16896
../test_instances/final/50_50/cog_33_1673.dimacs	184.12	33	33	60	16896	16896
../test_instances/final/50_50/cog_34_222.dimacs	12.71	34	34	46	18513	18513
../test_instances/final/50_50/cog_34_3576.dimacs	0.33	34	33	11	18513	14882
../test_instances/final/50_50/cog_35_1137.dimacs	0.31	35	28	9	20230	10206
../test_instances/final/50_50/cog_35_691.dimacs	2.03	35	33	31	20230	16896
../test_instances/final/50_50/cog_36_2275.dimacs	1.97	36	34	24	22050	18513
../test_instances/final/50_50/cog_36_71.dimacs	3.64	36	34	31	22050	18513
../test_instances/final/50_50/cog_37_1715.dimacs	3.20	37	34	34	23976	18513
../test_instances/final/50_50/cog_37_2407.dimacs	193.62	37	37	67	23976	23976
../test_instances/final/50_50/cog_38_211.dimacs	0.28	38	31	4	26011	13950
../test_instances/final/50_50/cog_38_2566.dimacs	310.58	38	38	66	26011	26011
../test_instances/final/50_50/cog_39_1510.dimacs	14.50	39	39	48	28158	28158
../test_instances/final/50_50/cog_39_4.dimacs	15.34	39	39	51	28158	28158
../test_instances/final/50_50/cog_40_1281.dimacs	4.53	40	39	31	30420	28158
../test_instances/final/50_50/cog_40_1327.dimacs	2.93	40	39	28	30420	28158
../test_instances/final/50_50/cog_41_1081.dimacs	7.35	41	41	35	32800	32800
../test_instances/final/50_50/cog_41_280.dimacs	0.79	41	39	12	32800	26715
../test_instances/final/50_50/cog_42_1342.dimacs	11.15	42	42	36	35301	35301
../test_instances/final/50_50/cog_42_165.dimacs	25.23	42	37	56	35301	23976
../test_instances/final/50_50/cog_43_1006.dimacs	338.06	43	43	72	37926	37926
../test_instances/final/50_50/cog_43_1800.dimacs	0.96	43	31	13	37926	13950
../test_instances/final/50_50/cog_44_1288.dimacs	1.24	44	39	17	40678	28158
../test_instances/final/50_50/cog_44_1449.dimacs	32.56	44	43	55	40678	36163
../test_instances/final/50_50/cog_45_875.dimacs	907.59	45	43	87	43560	37926
../test_instances/final/50_50/cog_45_900.dimacs	19.43	45	45	49	43560	43560
../test_instances/final/50_50/cog_46_60.dimacs	0.79	46	39	16	46575	26677
../test_instances/final/50_50/cog_46_686.dimacs	3.32	46	46	26	46575	46575
../test_instances/final/50_50/cog_47_1853.dimacs	2885.47	47	47	98	49726	47611
../test_instances/final/50_50/cog_47_2176.dimacs	0.26	47	36	2	49726	20826
../test_instances/final/50_50/cog_48_1518.dimacs	4.71	48	44	34	53016	40678
../test_instances/final/50_50/cog_48_156.dimacs	22.03	48	45	53	53016	43560
../test_instances/final/50_50/cog_49_1338.dimacs	0.00	49	0	0	56448	0
../test_instances/final/50_50/cog_49_508.dimacs	484.83	49	49	92	56448	56448
../test_instances/final/50_50/cog_50_523.dimacs	215.92	50	50	75	60025	60025
../test_instances/final/50_50/cog_50_981.dimacs	56.49	50	50	63	60025	60025
../test_instances/final/50_50/cog_6_1212.dimacs	0.00	6	0	0	75	0
../test_instances/final/50_50/cog_6_1912.dimacs	0.00	6	0	0	75	0
../test_instances/final/50_50/cog_7_1856.dimacs	0.03	7	7	1	126	85
../test_instances/final/50_50/cog_7_3469.dimacs	0.01	7	6	1	126	75
../test_instances/final/50_50/cog_8_3047.dimacs	0.01	8	8	1	196	141
../test_instances/final/50_50/cog_8_3064.dimacs	0.02	8	8	3	196	196
../test_instances/final/50_50/cog_9_1293.dimacs	0.00	9	0	0	288	0
../test_instances/final/50_50/cog_9_3084.dimacs	0.00	9	9	1	288	217
../test_instances/final/66_50/cog_10_435.dimacs	0.00	10	0	0	405	0
../test_instances/final/66_50/cog_10_911.dimacs	0.00	10	0	0	405	0
../test_instances/final/66_50/cog_11_1859.dimacs	0.01	11	11	3	550	550
../test_instances/final/66_50/cog_11_2703.dimacs	0.02	11	11	2	550	550
